problem,covered_subparts,first_principal_file,commit,committed_utc,elapsed_hours,cumulative_final_problem_families_with_proof_artifact
21.106,all,research/21.106-proof.md,0c02fbb17cde9d025a1a93c26dd0d3686007c646,2026-09-10T21:05:23+00:00,0.1436111111111111,1
21.121,a,research/21.121a-proof.md,b6343da52abc8a592e92826f10856050128af54e,2026-09-10T22:03:46+00:00,1.1166666666666667,2
21.68,all,research/21.68-proof.md,1ab9bd92b9b4e1509a477d1b11d2890b073a2ece,2026-09-10T23:00:47+00:00,2.0669444444444443,3
16.87,"a,b",research/16.87-proof.md,a43031f2de34643534c2900251762fc59be950e8,2026-09-10T23:20:15+00:00,2.391388888888889,4
10.35,all,research/10.35-proof.md,3c63ffe8a4115bc49fc3f47edfb8a10056546466,2026-09-10T23:51:24+00:00,2.9105555555555553,5
16.28,a,research/16.28-proof.md,6907a4ae0090d73f5a73392652877426d71adb6e,2026-09-11T00:04:41+00:00,3.1319444444444446,6
14.22,all,research/14.22-proof.md,d7cff05a06f2ee1d9d31110d3b9607707bc4e592,2026-09-11T00:48:06+00:00,3.8555555555555556,7
16.20,all,research/16.20-proof.md,0b80fca1b0708086b6b1685f21ad0835678cb30a,2026-09-11T01:22:03+00:00,4.421388888888889,8
17.33,all,research/17.33-proof.md,cab9517f3796217578da6c2c56638ec80af1ce11,2026-09-11T01:55:56+00:00,4.986111111111111,9
17.101,all,research/17.101-proof.md,a13afe7717d6efe72d810e56dbc55701fbe631e2,2026-09-11T02:22:25+00:00,5.4275,10
18.76,all,research/18.76-proof.md,48b50100be8b7b5cb7e5d8021f800924f1cd86ff,2026-09-11T02:59:43+00:00,6.049166666666666,11
18.92,"a,b",research/18.92-proof.md,fa3f208dcac4690b1a4be6d0e822ec8b7b953294,2026-09-11T03:04:53+00:00,6.135277777777778,12
20.108,"a,b",research/20.108-proof.md,6beb7b5adc363f5d4f82c15c2bce2632d60f72dc,2026-09-11T04:39:52+00:00,7.718333333333334,13
20.90,all,research/20.90-2adic-proof.md,71b7857f2e8ca7fbe739ac7ca0a22a2655a6bd55,2026-09-11T05:10:54+00:00,8.235555555555555,14
11.116,all,research/11.116-proof.md,519f17a319a5f82bcfbd3f0673adaefe9f44f679,2026-09-11T06:15:55+00:00,9.319166666666666,15
14.72,all,research/14.72-proof.md,c74c2eb0a6f192d32c831d801a5b9f38f0404d3d,2026-09-11T07:05:57+00:00,10.153055555555556,16
21.40,all,research/21.40-proof.md,928a73619133bcc8e3a6ba692fe4e7fb9d7513ca,2026-09-11T07:53:51+00:00,10.95138888888889,17
21.60,all,research/21.60-proof.md,b567ffdaecf60466e1a8afd3e8dbac5f403c4e76,2026-09-11T08:10:16+00:00,11.225,18
4.55,all,research/4.55-proof.md,a220cd42613d45d2dd29ff4694bac66856f2d3af,2026-09-11T08:37:43+00:00,11.6825,19
21.107,all,research/21.107-proof.md,52e58055f288ccda7f939d0a6977678dd9547f15,2026-09-11T09:10:08+00:00,12.222777777777777,20
15.89,all,research/15.89-proof.md,3a5d056ec0b18332b956e5d09ea373c3bb53d551,2026-09-11T11:52:42+00:00,14.932222222222222,21
16.9,all,research/16.9-proof.md,5f437512f3416b7af4c2c210180fe7f2a41dd89d,2026-09-11T12:13:33+00:00,15.279722222222222,22
18.18,all,research/18.18-proof.md,9fe2db4ea09b958d2ace034da2d2eccb1304a909,2026-09-11T12:34:07+00:00,15.6225,23
19.56,all,research/19.56-proof.md,d4e45a8027cf88c3df2d330112226f5c2f0b6b70,2026-09-11T14:31:10+00:00,17.573333333333334,24
20.92,a,research/20.92a-proof.md,1299e46b29a417bd80d2e257c24511e80885ae56,2026-09-11T15:23:19+00:00,18.4425,25
9.47,all,research/9.47-proof.md,8e41526572b7e38721e31d290e0b339f835bf697,2026-09-11T16:36:24+00:00,19.660555555555554,26
9.45,all,research/9.45-proof.md,0c46c912c6ab05b7af0a4271abf665cb83f08b8b,2026-09-11T17:07:14+00:00,20.174444444444443,27
10.62,all,research/10.62-proof.md,b7b61b33a7bdcb44934b6d56e4bfe9a5c399a4fc,2026-09-11T17:36:27+00:00,20.66138888888889,28
10.32,all,research/10.32-proof.md,b192acccd1e646a489e259c48b3a6ef418ca0238,2026-09-11T18:09:48+00:00,21.217222222222222,29
15.65,all,research/15.65-proof.md,bad996d088366f1913aad29b976fdc9a5bbd000d,2026-09-11T19:29:24+00:00,22.54388888888889,30
15.92,all,research/15.92-proof.md,d575acd10ff0b0f9f2798852887ce8e4b618f400,2026-09-11T20:52:14+00:00,23.924444444444443,31
4.75,all,research/4.75-proof.md,bcde9aa108bf9e067a98e36e9c7fea7168f7d13e,2026-09-11T21:08:03+00:00,24.188055555555554,32
