commit,committed_utc,author_date,elapsed_hours,in_research_window,subject
e25c13403bac556871adb8667e2b470af05b0a0e,2026-09-10T21:00:37+00:00,2026-09-10T21:00:37+00:00,0.06416666666666666,True,research: Initialize 48-hour Kourovka investigation
0c02fbb17cde9d025a1a93c26dd0d3686007c646,2026-09-10T21:05:23+00:00,2026-09-10T21:05:23+00:00,0.1436111111111111,True,research: Prove candidate counterexample to Problem 21.106
73950fc73ac8bf1e803e36694792a63e9b205f62,2026-09-10T21:19:03+00:00,2026-09-10T21:19:03+00:00,0.3713888888888889,True,"research: Index problems, audit first candidate, and launch exact searches"
48f89760bc589ddad21782c1fc2710135bc431a1,2026-09-10T21:21:56+00:00,2026-09-10T21:21:56+00:00,0.41944444444444445,True,research: Complete initial finite searches and test projectivity
b00b880a68144a83e86514b1917bf3b81343aacc,2026-09-10T21:42:35+00:00,2026-09-10T21:42:35+00:00,0.7636111111111111,True,research: Construct candidate for finite-centre Golod groups and expand exact searches
b273b91ace4f0dbe3b9e7a4784a8f4d3aa5f5493,2026-09-10T21:43:21+00:00,2026-09-10T21:43:21+00:00,0.7763888888888889,True,research: Complete positive trace-word exclusion through length 36
b6343da52abc8a592e92826f10856050128af54e,2026-09-10T22:03:46+00:00,2026-09-10T22:03:46+00:00,1.1166666666666667,True,research: Prove candidate nonattainment of the Jordan exponent and test Sylow intersections
ff18d3744ba80cc2ccc4a466ed6ea92608469200,2026-09-10T22:23:39+00:00,2026-09-10T22:23:39+00:00,1.4480555555555557,True,Audit subdirect quotient counterexample and extend endomorphism counts
c3b6dc4c6314c99146a5e7603b640f6969e35080,2026-09-10T22:31:02+00:00,2026-09-10T22:31:02+00:00,1.5711111111111111,True,Certify order-64 counterexample to stronger endomorphism inequality
98577679c9d08399c5b3a784ca7899c63fd8e2a8,2026-09-10T22:31:56+00:00,2026-09-10T22:31:56+00:00,1.586111111111111,True,Complete Sylow-intersection coverage through order 2000
1cea66c29ca763794100c1bdf35d82bc1ee1c7ef,2026-09-10T22:51:18+00:00,2026-09-10T22:51:18+00:00,1.9088888888888889,True,Archive coset-union work after locating September resolution
