hour,commands,extensions,file_changes,image_views,compactions,messages,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
0,124,32,24,2,1,20,12301375,11872000,103246,40458
1,91,26,19,5,2,19,10554220,9779840,110119,43409
2,82,31,15,5,2,20,9705363,8595456,101199,41667
3,98,45,20,8,2,23,12546865,11866624,105471,34530
4,79,33,17,5,2,17,9611629,8927232,96887,35628
5,88,35,18,3,2,17,10829571,10109952,94019,40673
6,114,58,20,5,2,20,13164100,12418176,100915,35480
7,65,35,13,4,1,15,10137795,9640448,103057,53692
8,71,13,19,2,1,14,7976245,7501440,86919,40313
9,78,29,9,3,2,14,7674120,7288960,90455,38570
10,94,34,13,4,2,16,10659233,10156160,95610,40972
11,125,26,14,4,1,17,12432037,12062208,97783,47351
12,100,46,13,4,2,16,12041686,11565952,83082,33863
13,104,26,21,6,2,19,12443556,12081536,100382,40529
14,81,20,17,1,1,16,11629731,11301376,95220,48374
15,75,42,12,4,2,15,8941864,8493312,93477,38225
16,91,54,8,7,3,16,12158999,11481472,92604,35184
17,90,40,12,5,2,14,11110652,10543104,96274,32725
18,69,26,11,3,2,14,8048009,7630592,92407,43005
19,84,51,9,10,2,12,11352917,10866176,94207,39335
20,135,51,16,20,2,15,14655052,14020480,97212,34092
21,121,34,20,24,3,18,12674486,12044544,101274,35320
22,93,37,9,19,2,16,11837918,11312384,104852,43185
23,121,30,11,30,2,17,12892617,12323584,103066,51065
24,140,40,13,16,3,17,11346713,10750592,102577,36555
25,108,34,19,8,2,20,14328403,13806336,106955,36605
26,75,34,9,5,2,14,13942774,13446912,107634,50240
27,105,23,0,10,2,17,13501235,13049728,104998,41912
28,133,40,11,28,2,18,13445047,12782336,101105,36673
29,89,27,12,14,2,15,7942974,7477632,98446,40800
30,145,20,19,5,1,14,11668707,11361792,95841,46185
31,153,2,21,2,1,13,8796158,8576256,98142,38060
32,17,1,2,0,0,2,1856821,1828736,12084,7702
33,1,0,0,0,0,0,0,0,0,0
34,22,0,4,0,0,3,2304411,2071424,21631,10361
35,101,18,26,3,2,13,8490060,8141696,103926,33862
36,79,29,21,6,1,18,13085629,12691840,103306,36557
37,84,27,20,13,2,19,10035035,9585280,100120,35620
38,113,10,18,3,2,17,9676180,9338752,96351,39579
39,130,20,15,5,1,25,12687411,12313728,90250,39054
40,82,9,16,2,1,16,11475755,11165696,86483,36193
41,73,14,16,3,2,16,7931030,7597696,88452,37353
42,38,12,11,0,1,13,5903487,5667200,92139,49927
43,70,21,16,3,1,18,10878979,10521728,86260,44152
44,67,24,9,1,2,15,7219458,6828160,88767,41706
45,60,17,7,0,1,16,8840840,8522496,87128,56316
46,82,11,16,47,2,19,11085181,10748032,98355,41131
47,110,10,15,0,1,20,8933772,8637440,93264,40708
