line,timestamp,phase,type,turn_id,started_at,completed_at,duration_ms
4,2026-09-10T20:56:46.348Z,research,task_started,01a08d1b-d404-7d32-a49b-6bbbd0c999ce,1789073806,,
50,2026-09-10T20:57:32.751Z,research,turn_aborted,01a08d1b-d404-7d32-a49b-6bbbd0c999ce,1789073806,1789073852,46404
52,2026-09-10T20:58:51.090Z,research,task_started,01a08d1d-bb47-7800-990b-ff60c28218c7,1789073931,,
403,2026-09-10T21:22:03.261Z,research,task_complete,01a08d1d-bb47-7800-990b-ff60c28218c7,1789073931,1789075323,1392170
404,2026-09-10T21:22:03.279Z,research,task_started,01a08d32-f985-7ab3-a62a-4a6bfa05472d,1789075323,,
707,2026-09-10T21:43:29.542Z,research,task_complete,01a08d32-f985-7ab3-a62a-4a6bfa05472d,1789075323,1789076609,1286264
708,2026-09-10T21:43:29.558Z,research,task_started,01a08d46-9a0e-78f2-9d4b-121e05d871d7,1789076609,,
937,2026-09-10T22:03:57.160Z,research,task_complete,01a08d46-9a0e-78f2-9d4b-121e05d871d7,1789076609,1789077837,1227603
938,2026-09-10T22:03:57.178Z,research,task_started,01a08d59-5571-7651-b590-7781f96a14d2,1789077837,,
1293,2026-09-10T22:32:10.682Z,research,task_complete,01a08d59-5571-7651-b590-7781f96a14d2,1789077837,1789079530,1693506
1294,2026-09-10T22:32:10.701Z,research,task_started,01a08d73-2cc3-7002-be3a-c1c37e1d6ef2,1789079530,,
1671,2026-09-10T23:01:13.141Z,research,task_complete,01a08d73-2cc3-7002-be3a-c1c37e1d6ef2,1789079530,1789081273,1742441
1672,2026-09-10T23:01:13.155Z,research,task_started,01a08d8d-c33a-7333-b5b3-d85b3d05595d,1789081273,,
2125,2026-09-10T23:36:35.255Z,research,task_complete,01a08d8d-c33a-7333-b5b3-d85b3d05595d,1789081273,1789083395,2122101
2126,2026-09-10T23:36:35.271Z,research,task_started,01a08dae-24bf-7de1-97f2-4e92aba2c6d6,1789083395,,
2462,2026-09-11T00:04:51.812Z,research,task_complete,01a08dae-24bf-7de1-97f2-4e92aba2c6d6,1789083395,1789085091,1696541
2463,2026-09-11T00:04:51.840Z,research,task_started,01a08dc8-07f7-7380-a745-fd517ed29fab,1789085091,,
2887,2026-09-11T00:31:05.936Z,research,task_complete,01a08dc8-07f7-7380-a745-fd517ed29fab,1789085091,1789086665,1574098
2888,2026-09-11T00:31:05.959Z,research,task_started,01a08de0-0cde-7142-8c5c-0968e6272653,1789086665,,
3073,2026-09-11T00:48:21.002Z,research,task_complete,01a08de0-0cde-7142-8c5c-0968e6272653,1789086665,1789087701,1035044
3074,2026-09-11T00:48:21.020Z,research,task_started,01a08def-d814-7273-b6d4-86d88bbbeeea,1789087701,,
3539,2026-09-11T01:29:01.960Z,research,task_complete,01a08def-d814-7273-b6d4-86d88bbbeeea,1789087701,1789090141,2440941
3540,2026-09-11T01:29:01.977Z,research,task_started,01a08e15-1710-7a92-b1e8-567096891c79,1789090141,,
3970,2026-09-11T02:06:20.437Z,research,task_complete,01a08e15-1710-7a92-b1e8-567096891c79,1789090141,1789092380,2238461
3971,2026-09-11T02:06:20.455Z,research,task_started,01a08e37-3f1f-7ba0-a2b8-bb3f59b46d00,1789092380,,
4481,2026-09-11T02:45:15.518Z,research,task_complete,01a08e37-3f1f-7ba0-a2b8-bb3f59b46d00,1789092380,1789094715,2335064
4482,2026-09-11T02:45:15.535Z,research,task_started,01a08e5a-e087-7b91-9a76-3a5a81c0e263,1789094715,,
4791,2026-09-11T03:11:27.151Z,research,task_complete,01a08e5a-e087-7b91-9a76-3a5a81c0e263,1789094715,1789096287,1571616
4792,2026-09-11T03:11:27.164Z,research,task_started,01a08e72-dbb3-7db3-bf5b-3b6fd9834cb3,1789096287,,
5256,2026-09-11T03:40:13.915Z,research,task_complete,01a08e72-dbb3-7db3-bf5b-3b6fd9834cb3,1789096287,1789098013,1726752
5257,2026-09-11T03:40:13.929Z,research,task_started,01a08e8d-34e0-7860-bdd0-5c52b0e7abb8,1789098013,,
5524,2026-09-11T04:03:05.502Z,research,task_complete,01a08e8d-34e0-7860-bdd0-5c52b0e7abb8,1789098013,1789099385,1371573
5525,2026-09-11T04:03:05.521Z,research,task_started,01a08ea2-22a7-7f50-847d-f4be4b1f6d2b,1789099385,,
6058,2026-09-11T04:47:47.307Z,research,task_complete,01a08ea2-22a7-7f50-847d-f4be4b1f6d2b,1789099385,1789102067,2681788
6059,2026-09-11T04:47:47.326Z,research,task_started,01a08ecb-0e74-7ce3-848f-0f2b72c8b171,1789102067,,
6350,2026-09-11T05:11:07.270Z,research,task_complete,01a08ecb-0e74-7ce3-848f-0f2b72c8b171,1789102067,1789103467,1399945
6351,2026-09-11T05:11:07.290Z,research,task_started,01a08ee0-6b10-7a50-b521-5038e94f1d8e,1789103467,,
6676,2026-09-11T05:38:16.907Z,research,task_complete,01a08ee0-6b10-7a50-b521-5038e94f1d8e,1789103467,1789105096,1629619
6677,2026-09-11T05:38:16.922Z,research,task_started,01a08ef9-48d2-7ef3-b296-340073e4a309,1789105096,,
7028,2026-09-11T06:26:30.956Z,research,task_complete,01a08ef9-48d2-7ef3-b296-340073e4a309,1789105096,1789107990,2894035
7029,2026-09-11T06:26:30.971Z,research,task_started,01a08f25-71b3-7bc2-9f12-a5dacb85894e,1789107990,,
7491,2026-09-11T07:09:17.372Z,research,task_complete,01a08f25-71b3-7bc2-9f12-a5dacb85894e,1789107990,1789110557,2566402
7492,2026-09-11T07:09:17.388Z,research,task_started,01a08f4c-9ac4-7162-9306-c98ef217380a,1789110557,,
8384,2026-09-11T08:20:07.337Z,research,task_complete,01a08f4c-9ac4-7162-9306-c98ef217380a,1789110557,1789114807,4249950
8385,2026-09-11T08:20:07.359Z,research,task_started,01a08f8d-7435-7390-9e1d-f6aa9d2d73c5,1789114807,,
8811,2026-09-11T08:49:17.509Z,research,task_complete,01a08f8d-7435-7390-9e1d-f6aa9d2d73c5,1789114807,1789116557,1750151
8812,2026-09-11T08:49:17.523Z,research,task_started,01a08fa8-28ca-7da3-95bb-9aa0806bc0cd,1789116557,,
9139,2026-09-11T09:17:04.499Z,research,task_complete,01a08fa8-28ca-7da3-95bb-9aa0806bc0cd,1789116557,1789118224,1666977
9140,2026-09-11T09:17:04.517Z,research,task_started,01a08fc1-987c-7602-aed0-3b82bea6f176,1789118224,,
9635,2026-09-11T09:50:33.145Z,research,task_complete,01a08fc1-987c-7602-aed0-3b82bea6f176,1789118224,1789120233,2008629
9636,2026-09-11T09:50:33.163Z,research,task_started,01a08fe0-3ec3-72c3-b3db-e275a184e73e,1789120233,,
10337,2026-09-11T10:41:30.898Z,research,task_complete,01a08fe0-3ec3-72c3-b3db-e275a184e73e,1789120233,1789123290,3057736
10338,2026-09-11T10:41:30.915Z,research,task_started,01a0900e-e71b-79d0-a94c-19a45024ad4a,1789123290,,
10666,2026-09-11T11:07:50.699Z,research,task_complete,01a0900e-e71b-79d0-a94c-19a45024ad4a,1789123290,1789124870,1579784
10667,2026-09-11T11:07:50.712Z,research,task_started,01a09027-022f-78f3-9626-357af1c641f0,1789124870,,
11253,2026-09-11T11:55:21.335Z,research,task_complete,01a09027-022f-78f3-9626-357af1c641f0,1789124870,1789127721,2850625
11254,2026-09-11T11:55:21.348Z,research,task_started,01a09052-817c-73c0-830a-128352c6a175,1789127721,,
11678,2026-09-11T12:34:16.328Z,research,task_complete,01a09052-817c-73c0-830a-128352c6a175,1789127721,1789130056,2334981
11679,2026-09-11T12:34:16.342Z,research,task_started,01a09076-228d-7391-9b55-31483a86edc3,1789130056,,
24895,2026-09-12T05:04:30.048Z,research,task_complete,01a09076-228d-7391-9b55-31483a86edc3,1789130056,1789189470,59413707
24899,2026-09-12T07:37:52.473Z,research,task_started,01a0948d-2253-7153-930b-969fdafeaa45,1789198672,,
25895,2026-09-12T09:14:15.122Z,research,task_complete,01a0948d-2253-7153-930b-969fdafeaa45,1789198672,1789204455,5782649
25896,2026-09-12T09:14:15.141Z,research,task_started,01a094e5-5edc-7ec1-98f6-7faaddf9f1e2,1789204455,,
26416,2026-09-12T09:55:39.341Z,research,task_complete,01a094e5-5edc-7ec1-98f6-7faaddf9f1e2,1789204455,1789206939,2484201
26417,2026-09-12T09:55:39.358Z,research,task_started,01a0950b-46d6-7c62-987e-8214490aaadc,1789206939,,
26655,2026-09-12T10:13:17.288Z,research,task_complete,01a0950b-46d6-7c62-987e-8214490aaadc,1789206939,1789207997,1057931
26656,2026-09-12T10:13:17.301Z,research,task_started,01a0951b-6b6d-7792-85de-9afb29a55c57,1789207997,,
