event_id,cumulative_total_tokens,reported_last_total_tokens,observed_delta_total_tokens,cumulative_input,reported_last_input,observed_delta_input,cumulative_cached_input,reported_last_cached_input,observed_delta_cached_input,cumulative_cache_write_input,reported_last_cache_write_input,observed_delta_cache_write_input,cumulative_output,reported_last_output,observed_delta_output,cumulative_reasoning_output,reported_last_reasoning_output,observed_delta_reasoning_output
19,15335,15335,15335,15095,15095,15095,11904,11904,11904,0,0,0,240,240,240,0,0,0
28,31263,15928,15928,30767,15672,15672,26880,14976,14976,0,0,0,496,256,256,57,57,57
33,50361,19098,19098,49799,19032,19032,38784,11904,11904,0,0,0,562,66,66,57,0,0
42,69781,19420,19420,68992,19193,19193,57600,18816,18816,0,0,0,789,227,227,103,46,46
47,69781,19420,0,68992,19193,0,57600,18816,0,0,0,0,789,227,0,103,46,0
64,101791,32010,32010,100812,31820,31820,89088,31488,31488,0,0,0,979,190,190,103,0,0
73,146284,44493,44493,145055,44243,44243,120704,31616,31616,0,0,0,1229,250,250,137,34,34
82,209978,63694,63694,206896,61841,61841,164736,44032,44032,0,0,0,3082,1853,1853,151,14,14
92,275405,65427,65427,271668,64772,64772,226432,61696,61696,0,0,0,3737,655,655,614,463,463
103,352164,76759,76759,347779,76111,76111,291072,64640,64640,0,0,0,4385,648,648,932,318,318
112,436992,84828,84828,432281,84502,84502,366976,75904,75904,0,0,0,4711,326,326,955,23,23
121,530427,93435,93435,525009,92728,92728,451328,84352,84352,0,0,0,5418,707,707,1471,516,516
128,637670,107243,107243,627941,102932,102932,543872,92544,92544,0,0,0,9729,4311,4311,1987,516,516
137,745200,107530,107530,735243,107302,107302,646656,102784,102784,0,0,0,9957,228,228,2019,32,32
147,862482,117282,117282,850269,115026,115026,753920,107264,107264,0,0,0,12213,2256,2256,2535,516,516
159,986836,124354,124354,971834,121565,121565,868864,114944,114944,0,0,0,15002,2789,2789,3569,1034,1034
167,1114904,128068,128068,1097500,125666,125666,990336,121472,121472,0,0,0,17404,2402,2402,4085,516,516
176,1244282,129378,129378,1226529,129029,129029,1115904,125568,125568,0,0,0,17753,349,349,4176,91,91
184,1379357,135075,135075,1361374,134845,134845,1244800,128896,128896,0,0,0,17983,230,230,4241,65,65
193,1519654,140297,140297,1500948,139574,139574,1379584,134784,134784,0,0,0,18706,723,723,4740,499,499
201,1673176,153522,153522,1653873,152925,152925,1519104,139520,139520,0,0,0,19303,597,597,5105,365,365
209,1832347,159171,159171,1812798,158925,158925,1671936,152832,152832,0,0,0,19549,246,246,5120,15,15
225,1998594,166247,166247,1976476,163678,163678,1830784,158848,158848,0,0,0,22118,2569,2569,7563,2443,2443
233,2169287,170693,170693,2146851,170375,170375,1994368,163584,163584,0,0,0,22436,318,318,7642,79,79
245,2343312,174025,174025,2319593,172742,172742,2164608,170240,170240,0,0,0,23719,1283,1283,8770,1128,1128
253,2523678,180366,180366,2499740,180147,180147,2337280,172672,172672,0,0,0,23938,219,219,8792,22,22
266,2708736,185058,185058,2683972,184232,184232,2517376,180096,180096,0,0,0,24764,826,826,9414,622,622
274,2896464,187728,187728,2869239,185267,185267,2701568,184192,184192,0,0,0,27225,2461,2461,9581,167,167
282,3085159,188695,188695,3057611,188372,188372,2886784,185216,185216,0,0,0,27548,323,323,9724,143,143
294,3280215,195056,195056,3251410,193799,193799,3075072,188288,188288,0,0,0,28805,1257,1257,10809,1085,1085
302,3480069,199854,199854,3450628,199218,199218,3268736,193664,193664,0,0,0,29441,636,636,11325,516,516
309,3680655,200586,200586,3650573,199945,199945,3467904,199168,199168,0,0,0,30082,641,641,11363,38,38
317,3881811,201156,201156,3851304,200731,200731,3667712,199808,199808,0,0,0,30507,425,425,11607,244,244
325,4086337,204526,204526,4055374,204070,204070,3868288,200576,200576,0,0,0,30963,456,456,11897,290,290
334,4294361,208024,208024,4261394,206020,206020,4072320,204032,204032,0,0,0,32967,2004,2004,12413,516,516
342,4503232,208871,208871,4469585,208191,208191,4278272,205952,205952,0,0,0,33647,680,680,12891,478,478
354,4715036,211804,211804,4679226,209641,209641,4486400,208128,208128,0,0,0,35810,2163,2163,13057,166,166
361,4927619,212583,212583,4891569,212343,212343,4695936,209536,209536,0,0,0,36050,240,240,13150,93,93
371,5141474,213855,213855,5104442,212873,212873,4908160,212224,212224,0,0,0,37032,982,982,13952,802,802
380,5356821,215347,215347,5318519,214077,214077,5120896,212736,212736,0,0,0,38302,1270,1270,14301,349,349
388,5573332,216511,216511,5534556,216037,216037,5334912,214016,214016,0,0,0,38776,474,474,14614,313,313
396,5793782,220450,220450,5753139,218583,218583,5550848,215936,215936,0,0,0,40643,1867,1867,14839,225,225
402,6014596,220814,220814,5973795,220656,220656,5769344,218496,218496,0,0,0,40801,158,158,14901,62,62
414,6236855,222259,222259,6195879,222084,222084,5989888,220544,220544,0,0,0,40976,175,175,14901,0,0
422,6461820,224965,224965,6420102,224223,224223,6211840,221952,221952,0,0,0,41718,742,742,15417,516,516
431,6694077,232257,232257,6651271,231169,231169,6435968,224128,224128,0,0,0,42806,1088,1088,16184,767,767
450,6933576,239499,239499,6885683,234412,234412,6667008,231040,231040,0,0,0,47893,5087,5087,18300,2116,2116
458,7175112,241536,241536,7126807,241124,241124,6901376,234368,234368,0,0,0,48305,412,412,18558,258,258
465,7421013,245901,245901,7369753,242946,242946,7142400,241024,241024,0,0,0,51260,2955,2955,19074,516,516
472,7421013,12297,0,7369753,0,0,7142400,0,0,0,0,0,51260,0,0,19074,0,0
483,7440060,19047,19047,7388578,18825,18825,7154304,11904,11904,0,0,0,51482,222,222,19130,56,56
489,7460386,20326,20326,7408712,20134,20134,7172992,18688,18688,0,0,0,51674,192,192,19130,0,0
496,7492491,32105,32105,7440309,31597,31597,7192960,19968,19968,0,0,0,52182,508,508,19257,127,127
506,7527733,35242,35242,7475230,34921,34921,7224320,31360,31360,0,0,0,52503,321,321,19323,66,66
516,7575899,48166,48166,7522946,47716,47716,7259008,34688,34688,0,0,0,52953,450,450,19367,44,44
523,7631707,55808,55808,7578450,55504,55504,7306496,47488,47488,0,0,0,53257,304,304,19575,208,208
531,7695731,64024,64024,7642319,63869,63869,7361792,55296,55296,0,0,0,53412,155,155,19588,13,13
538,7771241,75510,75510,7715784,73465,73465,7425536,63744,63744,0,0,0,55457,2045,2045,20104,516,516
545,7847059,75818,75818,7791318,75534,75534,7498880,73344,73344,0,0,0,55741,284,284,20171,67,67
555,7923519,76460,76460,7867519,76201,76201,7574272,75392,75392,0,0,0,56000,259,259,20208,37,37
570,8003127,79608,79608,7944976,77457,77457,7650304,76032,76032,0,0,0,58151,2151,2151,22178,1970,1970
577,8091252,88125,88125,8032964,87988,87988,7727616,77312,77312,0,0,0,58288,137,137,22207,29,29
585,8184044,92792,92792,8125019,92055,92055,7815424,87808,87808,0,0,0,59025,737,737,22723,516,516
594,8285597,101553,101553,8223807,98788,98788,7907328,91904,91904,0,0,0,61790,2765,2765,22780,57,57
603,8387779,102182,102182,8325384,101577,101577,8005888,98560,98560,0,0,0,62395,605,605,23094,314,314
610,8492509,104730,104730,8429950,104566,104566,8107264,101376,101376,0,0,0,62559,164,164,23103,9,9
618,8603829,111320,111320,8540742,110792,110792,8211712,104448,104448,0,0,0,63087,528,528,23412,309,309
625,8717369,113540,113540,8654237,113495,113495,8322304,110592,110592,0,0,0,63132,45,45,23420,8,8
632,8835239,117870,117870,8769887,115650,115650,8435584,113280,113280,0,0,0,65352,2220,2220,23485,65,65
641,8954633,119394,119394,8887781,117894,117894,8550656,115072,115072,0,0,0,66852,1500,1500,24067,582,582
648,9074455,119822,119822,9007234,119453,119453,8668416,117760,117760,0,0,0,67221,369,369,24144,77,77
660,9196029,121574,121574,9127613,120379,120379,8787712,119296,119296,0,0,0,68416,1195,1195,24582,438,438
