CONTROL order=6 classes=3 pairs=3 integral_swaps=1
CONTROL order=8 classes=5 pairs=10 integral_swaps=6
CONTROL order=8 classes=5 pairs=10 integral_swaps=6
CONTROL order=12 classes=4 pairs=1 integral_swaps=0
CONTROL order=24 classes=5 pairs=10 integral_swaps=2
CONTROL order=12 classes=6 pairs=15 integral_swaps=2
CONTROL order=24 classes=7 pairs=3 integral_swaps=0
CONTROL order=60 classes=5 pairs=3 integral_swaps=0
CONTROL order=168 classes=6 pairs=6 integral_swaps=0
CONTROL order=12 classes=6 pairs=15 integral_swaps=2
PASS groups=10 element_products=33572 pairs=76 integral_swaps=19 nonintegral_swaps=57 multiplicativity_checks=503
