GAP 4.16.1
CTBLLIB 1.3.11
NAME (2xA6).2_3
NAME 2.A10
NAME 2.A10.2
NAME Isoclinic(2.A10.2)
NAME 2.A11
NAME 2.A11.2
NAME Isoclinic(2.A11.2)
NAME 2.A12
NAME 2.A12.2
NAME Isoclinic(2.A12.2)
NAME 2.A13
NAME 2.A13.2
NAME Isoclinic(2.A13.2)
NAME 2.A14.2
NAME Isoclinic(2.A14.2)
NAME 2.A15.2
NAME 2.A16.2
NAME 2.A17.2
NAME 2.A18.2
NAME 2.A5
NAME 2.A5.2
NAME Isoclinic(2.A5.2)
NAME 2.A6
NAME 2.A6.2_1
NAME 2.A6.2_2
NAME Isoclinic(2.A6.2_2)
NAME 2.A7
NAME 2.A7.2
NAME Isoclinic(2.A7.2)
NAME 2.A8
NAME 2.A8.2
NAME Isoclinic(2.A8.2)
NAME 2.A9
NAME 2.A9.2
NAME Isoclinic(2.A9.2)
NAME 2F4(2)'M7
NAME 3.A6
NAME 3.A6.2^2
NAME 3.A6.2_1
NAME 3.A6.2_2
NAME 3.A6.2_3
NAME 3.A7
NAME 3.A7.2
NAME Isoclinic(2.A6x2)
NAME 4.A6.2_3
NAME 6.A6
NAME 6.A6.2_1
NAME 6.A6.2_2
NAME Isoclinic(6.A6.2_2)
NAME 6.A7
NAME 6.A7.2
NAME Isoclinic(6.A7.2)
NAME A10
NAME A10.2
NAME A11
NAME A11.2
NAME A12
NAME A12.2
NAME A13
NAME A13.2
NAME A14
NAME A5
NAME A6M2
NAME A5.2
NAME A6.2_1M3
NAME A6
NAME A6.2^2
NAME U4(3).2_3M10
NAME A6.2_1
NAME A6.2_2
NAME A6.2_3
NAME A7
NAME A7.2
NAME A8
NAME A8.2
NAME A9
NAME A9.2
NAME M12M4
NAME A14.2
NAME A15.2
NAME A15
NAME A16.2
NAME A16
NAME A17
NAME A17.2
NAME A18
NAME A18.2
NAME A19
NAME A19.2
NAME Isoclinic(6.A6x2)
NAME Isoclinic(3.A6.2_3x2)
NAME 12.A6.2_3
NAME 2.F4(2)
NAME 2.F4(2).2
NAME Isoclinic(2.F4(2).2)
NAME Isoclinic(2x2.F4(2).2)
NAME 2.(2xF4(2)).2
NAME 2.G2(4)
NAME 2.G2(4).2
NAME Isoclinic(2.G2(4).2)
NAME 2.Sz(8)
NAME 2^2.Sz(8)
NAME 2^2.Sz(8).3
NAME 3.G2(3)
NAME 3.G2(3).2
NAME F4(2)
NAME F4(2).2
NAME G2(3)
NAME G2(3).2
NAME G2(4)
NAME G2(4).2
NAME G2(5)
NAME G2(7)
NAME R(27)
NAME R(27).3
NAME Sz(32)
NAME Sz(32).5
NAME Sz(8)
NAME Sz(8).3
NAME 3^(1+10):U5(2):2
NAME 3^5:U4(2)
NAME 3^7:O7(3)
NAME 2^7:S6(2)
NAME 2^8:O8+(2)
NAME 2^8:S8(2)
NAME 2^(1+22).Co2
NAME 2.Co1
NAME 2.J2
NAME 2.J2.2
NAME Isoclinic(2.J2.2)
NAME 3.J3
NAME 3.J3.2
NAME Co1
NAME Co2
NAME Co3
NAME J1
NAME J2
NAME J2.2
NAME J3
NAME J3.2
NAME J4
NAME NDG(12.M22,3^2)
NAME 12.M22N3
NAME 3xIsoclinic(2x5:8)
NAME 12x7:3
NAME 12x11:5
NAME 3x2.M22N2
NAME 2x3.(A4x3):2
NAME (GL(2,3)x2F4(2)').2
NAME D8x2F4(2)'.2
NAME QD16.2
NAME (QD16x2F4(2)').2
NAME 2.(3^2:D8xU4(3).2^2).2
NAME 2xBN5
NAME (5^2:4S4x2.A5):2
NAME 2.BN7
NAME (3^2x2).U4(3).D8
NAME NDG(2.Co1,3^3)
NAME NDG(Co1,5^2)
NAME NDG(2.Co1,5^2)
NAME 2xCo1N3
NAME 2xCo1N5
NAME 2x5^(1+2):GL2(5)
NAME 2x7^2:(3x2A4)
