     ● G  GAP 4.16.1 of 2026-08-23
  ● ●  A  https://www.gap-system.org
     ● P  Architecture: x86_64-pc-linux-gnu-default64-kv11
 Configuration:  gmp 6.3.0, GASMAN, readline
 Loading the library and packages ...
 Packages:   AClib 1.4, Alnuth 4.0.2, AtlasRep 2.1.12, AutoDoc 2026.06.30, 
             AutPGrp 1.12.0, Browse 1.8.23, CaratInterface 2.3.11, 
             CRISP 1.4.11, Cryst 4.1.32, CrystCat 1.1.13, CTblLib 1.3.11, 
             FactInt 1.7.0, FGA 1.5.0, Forms 1.3.0, GAPDoc 1.6.10, 
             genss 1.6.10, IO 4.10.0, IRREDSOL 1.4.6, LAGUNA 3.10.1, 
             orb 5.1.0, PackageManager 1.6.4, Polenta 1.3.11, Polycyclic 2.18, 
             PrimGrp 4.0.3, RadiRoot 2.10, recog 1.5.1, ResClasses 4.7.4, 
             SmallGrp 1.7.0, Sophus 1.27, SpinSym 1.5.2, StandardFF 1.0, 
             TomLib 1.2.11, TransGrp 3.6.5, utils 0.98
 Try '??help' for help. See also '?copyright', '?cite' and '?authors'
BEGIN dimension=4 field=5
GROUP n=4 d=1 k=1 order=6144 cyclic=false affine_classes=190 ms=131
GROUP n=4 d=1 k=2 order=3072 cyclic=false affine_classes=140 ms=93
GROUP n=4 d=1 k=3 order=2048 cyclic=false affine_classes=230 ms=134
GROUP n=4 d=1 k=4 order=1024 cyclic=false affine_classes=220 ms=120
GROUP n=4 d=1 k=5 order=1024 cyclic=false affine_classes=190 ms=104
GROUP n=4 d=1 k=6 order=512 cyclic=false affine_classes=152 ms=132
GROUP n=4 d=1 k=7 order=512 cyclic=false affine_classes=134 ms=108
GROUP n=4 d=1 k=8 order=1536 cyclic=false affine_classes=88 ms=56
GROUP n=4 d=1 k=9 order=3072 cyclic=false affine_classes=116 ms=81
GROUP n=4 d=1 k=10 order=3072 cyclic=false affine_classes=104 ms=69
GROUP n=4 d=1 k=11 order=1024 cyclic=false affine_classes=148 ms=93
