VERIFIED_GROUP [1296, 2889] {'central_steps': 11, 'chain_edges': 4, 'maximal_cosets': 15, 'nilpotent_factors': 9, 'permutation_edges': 2592, 'sylow_chains': 2, 'table_entries': 1679616}
VERIFIED_GROUP [1296, 2890] {'central_steps': 11, 'chain_edges': 4, 'maximal_cosets': 15, 'nilpotent_factors': 9, 'permutation_edges': 2592, 'sylow_chains': 2, 'table_entries': 1679616}
VERIFIED_GROUP [1296, 2891] {'central_steps': 11, 'chain_edges': 4, 'maximal_cosets': 15, 'nilpotent_factors': 9, 'permutation_edges': 2592, 'sylow_chains': 2, 'table_entries': 1679616}
VERIFIED_GROUP [1296, 2892] {'central_steps': 11, 'chain_edges': 4, 'maximal_cosets': 15, 'nilpotent_factors': 9, 'permutation_edges': 2592, 'sylow_chains': 2, 'table_entries': 1679616}
VERIFIED_GROUP [1296, 3081] {'central_steps': 10, 'chain_edges': 4, 'maximal_cosets': 15, 'nilpotent_factors': 9, 'permutation_edges': 2592, 'sylow_chains': 2, 'table_entries': 1679616}
VERIFIED_GROUP [1296, 3082] {'central_steps': 10, 'chain_edges': 4, 'maximal_cosets': 15, 'nilpotent_factors': 9, 'permutation_edges': 2592, 'sylow_chains': 2, 'table_entries': 1679616}
VERIFIED_GROUP [1296, 3083] {'central_steps': 10, 'chain_edges': 4, 'maximal_cosets': 15, 'nilpotent_factors': 9, 'permutation_edges': 2592, 'sylow_chains': 2, 'table_entries': 1679616}
VERIFIED_GROUP [1296, 3084] {'central_steps': 10, 'chain_edges': 4, 'maximal_cosets': 15, 'nilpotent_factors': 9, 'permutation_edges': 2592, 'sylow_chains': 2, 'table_entries': 1679616}
VERIFIED_GROUP [1296, 3085] {'central_steps': 10, 'chain_edges': 4, 'maximal_cosets': 15, 'nilpotent_factors': 9, 'permutation_edges': 2592, 'sylow_chains': 2, 'table_entries': 1679616}
VERIFIED_GROUP [1296, 3086] {'central_steps': 10, 'chain_edges': 4, 'maximal_cosets': 15, 'nilpotent_factors': 9, 'permutation_edges': 2592, 'sylow_chains': 2, 'table_entries': 1679616}
VERIFIED_GROUP [1944, 3453] {'central_steps': 12, 'chain_edges': 5, 'maximal_cosets': 17, 'nilpotent_factors': 11, 'permutation_edges': 3888, 'sylow_chains': 2, 'table_entries': 3779136}
VERIFIED_GROUP [1944, 3454] {'central_steps': 12, 'chain_edges': 5, 'maximal_cosets': 17, 'nilpotent_factors': 11, 'permutation_edges': 3888, 'sylow_chains': 2, 'table_entries': 3779136}
VERIFIED_GROUP [432, 734] {'central_steps': 9, 'chain_edges': 3, 'maximal_cosets': 13, 'nilpotent_factors': 7, 'permutation_edges': 864, 'sylow_chains': 2, 'table_entries': 186624}
VERIFIED_GROUP [648, 703] {'central_steps': 10, 'chain_edges': 4, 'maximal_cosets': 15, 'nilpotent_factors': 9, 'permutation_edges': 1296, 'sylow_chains': 2, 'table_entries': 419904}
VERIFIED_GROUP [648, 704] {'central_steps': 10, 'chain_edges': 4, 'maximal_cosets': 15, 'nilpotent_factors': 9, 'permutation_edges': 1296, 'sylow_chains': 2, 'table_entries': 419904}
PASS_20112_DIRECT groups=15 sylow_chains=30 chain_edges=61 mutations=5
