[ 1, 7, [ 3, 256 ], true ]
[ 2, 4, [ 3, 8, 8 ], true ]
[ 3, 3, [ 3, 8, 8 ], true ]
[ 4, 3, [ 3, 8, 8 ], true ]
[ 5, 4, [ 3, 4, 8 ], true ]
[ 6, 3, [ 3, 4, 8 ], true ]
[ 7, 4, [ 3, 4, 8 ], true ]
[ 8, 3, [ 3, 4, 8 ], true ]
[ 9, 3, [ 3, 4, 8 ], true ]
[ 10, 3, [ 3, 4, 8 ], true ]
[ 11, 3, [ 3, 4, 8 ], true ]
[ 12, 3, [ 3, 4, 8 ], true ]
[ 13, 4, [ 3, 4, 8 ], true ]
[ 14, 3, [ 3, 4, 8 ], true ]
[ 15, 3, [ 3, 4, 8 ], true ]
[ 16, 3, [ 3, 4, 8 ], true ]
[ 17, 3, [ 3, 4, 8 ], true ]
[ 18, 3, [ 3, 4, 8 ], true ]
[ 19, 3, [ 3, 4, 8 ], true ]
[ 20, 4, [ 3, 4, 8 ], true ]
[ 21, 3, [ 3, 4, 8 ], true ]
[ 22, 3, [ 3, 4, 8 ], true ]
[ 23, 3, [ 3, 4, 4 ], true ]
[ 24, 4, [ 3, 4, 4 ], true ]
[ 25, 3, [ 3, 4, 4 ], true ]
[ 26, 3, [ 3, 4, 4 ], true ]
[ 27, 4, [ 3, 4, 4 ], true ]
[ 28, 3, [ 3, 4, 4 ], true ]
[ 29, 21, [ 3, 4, 4 ], true ]
[ 30, 3, [ 3, 4, 4 ], true ]
[ 31, 3, [ 3, 4, 4 ], true ]
[ 32, 3, [ 3, 4, 4 ], true ]
PASS_2021_DIAGNOSTIC
