VERIFIED [243, 51] 2 {'automorphism_edges': 1215, 'certified_irreducibles': 68, 'groups': 1, 'induced_class_values': 2890, 'invariant_characters': 17, 'linear_map_edges': 100278, 'nonlinear_correspondents': 8, 'permutation_edges': 1215, 'restriction_multiplicities': 289, 'table_entries': 59049}
VERIFIED [243, 56] 2 {'automorphism_edges': 1215, 'certified_irreducibles': 46, 'groups': 1, 'induced_class_values': 1346, 'invariant_characters': 11, 'linear_map_edges': 41508, 'nonlinear_correspondents': 2, 'permutation_edges': 1215, 'restriction_multiplicities': 121, 'table_entries': 59049}
VERIFIED [729, 138] 2 {'automorphism_edges': 4374, 'certified_irreducibles': 140, 'groups': 1, 'induced_class_values': 12250, 'invariant_characters': 35, 'linear_map_edges': 752733, 'nonlinear_correspondents': 26, 'permutation_edges': 4374, 'restriction_multiplicities': 1225, 'table_entries': 531441}
VERIFIED [729, 245] 2 {'automorphism_edges': 4374, 'certified_irreducibles': 204, 'groups': 1, 'induced_class_values': 26010, 'invariant_characters': 51, 'linear_map_edges': 2061369, 'nonlinear_correspondents': 24, 'permutation_edges': 4374, 'restriction_multiplicities': 2601, 'table_entries': 531441}
VERIFIED [729, 258] 2 {'automorphism_edges': 4374, 'certified_irreducibles': 138, 'groups': 1, 'induced_class_values': 12114, 'invariant_characters': 33, 'linear_map_edges': 555741, 'nonlinear_correspondents': 6, 'permutation_edges': 4374, 'restriction_multiplicities': 1089, 'table_entries': 531441}
VERIFIED [729, 268] 2 {'automorphism_edges': 4374, 'certified_irreducibles': 140, 'groups': 1, 'induced_class_values': 12250, 'invariant_characters': 35, 'linear_map_edges': 1975023, 'nonlinear_correspondents': 8, 'permutation_edges': 4374, 'restriction_multiplicities': 1225, 'table_entries': 531441}
VERIFIED [729, 402] 2 {'automorphism_edges': 7290, 'certified_irreducibles': 76, 'groups': 1, 'induced_class_values': 3610, 'invariant_characters': 19, 'linear_map_edges': 683883, 'nonlinear_correspondents': 10, 'permutation_edges': 7290, 'restriction_multiplicities': 361, 'table_entries': 531441}
VERIFIED [256, 10331] 3 {'automorphism_edges': 1536, 'certified_irreducibles': 110, 'groups': 1, 'induced_class_values': 8228, 'invariant_characters': 22, 'linear_map_edges': 214784, 'nonlinear_correspondents': 6, 'permutation_edges': 1536, 'restriction_multiplicities': 484, 'table_entries': 65536}
VERIFIED [256, 56065] 5 {'automorphism_edges': 2048, 'certified_irreducibles': 119, 'groups': 1, 'induced_class_values': 12593, 'invariant_characters': 7, 'linear_map_edges': 175176, 'nonlinear_correspondents': 3, 'permutation_edges': 2048, 'restriction_multiplicities': 49, 'table_entries': 65536}
VERIFIED [256, 53054] 7 {'automorphism_edges': 2048, 'certified_irreducibles': 99, 'groups': 1, 'induced_class_values': 7865, 'invariant_characters': 11, 'linear_map_edges': 156824, 'nonlinear_correspondents': 3, 'permutation_edges': 2048, 'restriction_multiplicities': 121, 'table_entries': 65536}
VERIFIED [2187, 8007] 4 {'automorphism_edges': 15309, 'certified_irreducibles': 350, 'groups': 1, 'induced_class_values': 100450, 'invariant_characters': 35, 'linear_map_edges': 5578956, 'nonlinear_correspondents': 8, 'permutation_edges': 15309, 'restriction_multiplicities': 1225, 'table_entries': 4782969}
VERIFIED [2187, 8007] 8 {'automorphism_edges': 15309, 'certified_irreducibles': 350, 'groups': 1, 'induced_class_values': 100450, 'invariant_characters': 35, 'linear_map_edges': 5578956, 'nonlinear_correspondents': 8, 'permutation_edges': 15309, 'restriction_multiplicities': 1225, 'table_entries': 4782969}
VERIFIED [2187, 9276] 13 {'automorphism_edges': 15309, 'certified_irreducibles': 476, 'groups': 1, 'induced_class_values': 210970, 'invariant_characters': 17, 'linear_map_edges': 4724568, 'nonlinear_correspondents': 8, 'permutation_edges': 15309, 'restriction_multiplicities': 289, 'table_entries': 4782969}
PASS_21100_INDEPENDENT models=13 irreducibles=2316 invariant=328 nonlinear=120 mutations=5
