PROGRESS 20 [ 6, 7 ]
PROGRESS 40 [ 8, 4 ]
PROGRESS 60 [ 8, 24 ]
PROGRESS 80 [ 8, 44 ]
PROGRESS 100 [ 9, 14 ]
PROGRESS 120 [ 9, 34 ]
PROGRESS 140 [ 10, 20 ]
PROGRESS 160 [ 10, 40 ]
PROGRESS 180 [ 12, 7 ]
PROGRESS 200 [ 12, 27 ]
PROGRESS 220 [ 12, 47 ]
PROGRESS 240 [ 12, 67 ]
PROGRESS 260 [ 12, 87 ]
PROGRESS 280 [ 12, 107 ]
PROGRESS 300 [ 12, 127 ]
PROGRESS 320 [ 12, 147 ]
PROGRESS 340 [ 12, 167 ]
PROGRESS 360 [ 12, 187 ]
PROGRESS 380 [ 12, 207 ]
PROGRESS 400 [ 12, 227 ]
PROGRESS 420 [ 12, 247 ]
PROGRESS 440 [ 12, 267 ]
PROGRESS 460 [ 12, 287 ]
PROGRESS 480 [ 24, 24995 ]
PASS_2199_WORD_PILOT groups=485
